Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.19,-.32,-.06,-.39,-.17,-.02,-.95,-.50,-.26,-.21,-.12,-.05,.05,.68
1881,-.10,-.19,-.01,-.33,.05,-.07,-.82,-.49,-.16,.03,.07,-.07,-.07,.60
1882,-.11,-.21,-.01,-.29,-.07,.02,-1.40,-.29,-.09,-.09,-.05,.02,.04,.64
1883,-.19,-.32,-.07,-.37,-.21,.01,-.30,-.62,-.23,-.24,-.17,-.02,.07,.51
1884,-.29,-.44,-.16,-.57,-.21,-.14,-1.27,-.62,-.41,-.23,-.19,-.19,-.02,.66
1885,-.32,-.40,-.24,-.59,-.16,-.26,-1.13,-.68,-.43,-.09,-.22,-.32,-.15,.83
1886,-.32,-.42,-.24,-.52,-.25,-.22,-1.20,-.50,-.41,-.25,-.26,-.23,-.20,.60
1887,-.35,-.40,-.30,-.46,-.32,-.28,-1.52,-.47,-.26,-.31,-.33,-.28,-.26,.33
1888,-.18,-.22,-.14,-.40,.07,-.29,-1.38,-.43,-.21,.07,.08,-.33,-.23,.17
1889,-.11,-.16,-.06,-.26,.05,-.17,-.73,-.19,-.21,.00,.10,-.16,-.16,.46
1890,-.37,-.41,-.34,-.45,-.42,-.23,-1.16,-.54,-.26,-.34,-.50,-.19,-.28,.16
1891,-.24,-.26,-.22,-.41,-.12,-.22,-1.19,-.29,-.33,-.04,-.22,-.19,-.24,-.15
1892,-.27,-.37,-.17,-.40,-.31,-.08,-1.29,-.59,-.11,-.33,-.29,.01,-.22,.10
1893,-.32,-.45,-.20,-.47,-.39,-.07,-.90,-.50,-.35,-.42,-.37,.02,-.21,-.03
1894,-.31,-.39,-.24,-.33,-.36,-.25,-1.36,-.26,-.12,-.48,-.23,-.17,-.35,-.37
1895,-.23,-.29,-.17,-.38,-.09,-.26,-.94,-.45,-.19,-.14,-.04,-.21,-.32,-.57
1896,-.12,-.20,-.03,-.36,.09,-.15,-1.25,-.35,-.15,.06,.13,-.16,-.14,.26
1897,-.12,-.17,-.07,-.33,.14,-.24,-.73,-.39,-.20,.10,.17,-.21,-.28,.41
1898,-.28,-.29,-.28,-.31,-.27,-.27,-1.18,-.16,-.20,-.24,-.29,-.29,-.21,.39
1899,-.18,-.20,-.16,-.20,-.16,-.20,-1.04,.00,-.13,-.20,-.12,-.18,-.22,.59
1900,-.09,-.08,-.10,-.17,.13,-.31,-.58,-.08,-.13,.07,.19,-.31,-.29,.28
1901,-.16,-.10,-.22,-.12,-.07,-.32,-.53,-.03,-.07,-.07,-.08,-.30,-.34,.27
1902,-.30,-.33,-.26,-.50,-.10,-.36,-1.56,-.41,-.27,-.07,-.13,-.31,-.43,-.04
1903,-.39,-.38,-.40,-.45,-.34,-.40,-.45,-.38,-.49,-.27,-.41,-.38,-.40,-.46
1904,-.49,-.49,-.50,-.49,-.53,-.45,-.23,-.55,-.52,-.48,-.57,-.40,-.49,-1.28
1905,-.29,-.30,-.27,-.39,-.16,-.37,-.13,-.18,-.59,-.18,-.14,-.35,-.37,-.30
1906,-.23,-.22,-.23,-.22,-.22,-.24,-.33,.00,-.34,-.22,-.22,-.22,-.23,-.68
1907,-.40,-.47,-.33,-.57,-.34,-.30,-.69,-.69,-.46,-.31,-.37,-.23,-.37,-1.17
1908,-.43,-.45,-.42,-.47,-.47,-.36,-.38,-.51,-.47,-.43,-.50,-.30,-.48,.71
1909,-.47,-.46,-.49,-.47,-.50,-.45,-.73,-.51,-.39,-.45,-.55,-.39,-.52,-.53
1910,-.43,-.43,-.44,-.38,-.52,-.38,-.66,-.15,-.45,-.51,-.52,-.33,-.45,.19
1911,-.43,-.39,-.47,-.38,-.44,-.47,-.32,-.36,-.41,-.42,-.47,-.44,-.52,.08
1912,-.36,-.45,-.26,-.57,-.20,-.36,-.59,-.71,-.47,-.28,-.12,-.36,-.29,-1.60
1913,-.36,-.43,-.28,-.41,-.33,-.34,-.62,-.25,-.45,-.46,-.20,-.28,-.40,-1.00
1914,-.16,-.19,-.12,-.23,-.09,-.18,-.53,-.07,-.25,-.13,-.05,-.17,-.18,-.33
1915,-.13,-.11,-.14,-.17,-.02,-.22,-.55,-.06,-.15,.00,-.04,-.16,-.23,-1.95
1916,-.33,-.36,-.31,-.29,-.45,-.22,-.30,-.43,-.20,-.47,-.43,-.22,-.17,-1.01
1917,-.44,-.54,-.36,-.41,-.66,-.18,-.64,-.37,-.39,-.73,-.58,-.23,-.09,.10
1918,-.29,-.37,-.21,-.37,-.34,-.14,-1.20,-.16,-.29,-.36,-.31,-.07,-.22,-.25
1919,-.27,-.34,-.21,-.40,-.21,-.23,-.86,-.44,-.27,-.24,-.19,-.16,-.32,.23
1920,-.26,-.26,-.26,-.19,-.27,-.32,.00,-.07,-.31,-.38,-.17,-.20,-.48,-1.11
1921,-.18,-.08,-.29,.06,-.26,-.31,-.04,.27,-.06,-.27,-.25,-.25,-.38,-.81
